Место;Номер;Фамилия;Имя;Возраст;Страна;Клуб;Категория;Плавание;T1;16 км;18,5 км;22,7 км;38,7 км;41,2 км;45,4 км;48,2 км;52,2 км;61,4 км;63,9 км;68,1 км;70,9 км;74,9 км;84,1 км;86,6 км;90 км;Велогонка;T2;1 км;3,5 км;6 км;8,5 км;10,5 км;11,5 км;14 км;16,5 км;19 км;Финиш;Результат
1;1;VASILEVICH;ALIAKSANDR;37;Республика Беларусь;TRIVIDA ;Чемпионат РБ по триатлону;25:21;26:52;24:21;27:44;;57:30;01:00:54;01:06:58;01:10:50;;01:30:53;01:34:20;01:40:42;01:44:51;01:50:57;02:06:14;02:09:35;02:13:29;02:40:21;02:42:04;04:46;15:44;23:17;31:29;37:12;42:05;53:11;01:01:08;01:09:46;01:16:01;03:58:05
2;247;Кравченко;Кирилл;30;Россия;;М 30-34;27:15;28:56;25:41;29:16;;01:00:48;01:04:24;01:10:47;01:14:52;01:21:04;01:35:25;01:38:51;01:45:10;01:49:12;01:55:19;02:10:06;02:13:39;02:17:58;02:46:54;02:49:03;04:46;15:34;23:13;31:20;37:01;41:52;52:29;01:00:05;01:08:07;01:13:41;04:02:43
3;2;Dakhno;Alexandr;29;Республика Беларусь;Tristyle;Чемпионат РБ по триатлону;27:20;29:03;24:58;28:32;;01:00:18;01:03:59;01:10:12;01:14:20;;01:35:42;01:39:22;01:45:57;01:50:14;01:56:35;02:11:29;02:15:01;02:19:19;02:48:22;02:49:31;04:45;15:47;23:50;32:25;38:31;43:46;55:27;01:03:48;01:12:40;01:18:58;04:08:30
4;126;Громов;Михаил;44;Россия; Нет клуба/No club;М 40-44;27:52;29:35;24:59;28:36;;59:52;01:03:29;01:09:48;01:13:48;;01:34:34;01:38:04;01:44:27;01:48:38;01:54:50;02:09:45;02:13:19;02:17:40;02:47:14;02:48:42;05:27;17:52;26:35;35:51;42:24;47:57;01:00:09;01:08:55;;01:24:45;04:13:27
5;263;Зиновьев;Алексей;28;Россия;;М 25-29;30:57;32:34;24:48;28:20;;58:45;01:02:14;01:08:21;01:12:12;01:18:20;01:33:13;01:36:43;01:43:05;01:47:12;01:53:08;02:08:15;02:11:49;02:16:01;02:48:35;02:49:47;05:13;17:10;25:49;35:10;41:48;47:31;;01:09:44;01:19:39;01:26:37;04:16:24
6;4;Банников;Алексей;39;Республика Беларусь;Grebenstar;Чемпионат РБ по триатлону;27:04;28:41;25:59;29:41;;01:02:14;01:05:55;01:12:31;01:16:41;01:22:57;01:38:37;01:42:13;01:48:53;01:53:08;01:59:24;02:15:09;02:18:52;02:23:26;02:52:06;02:53:47;05:15;16:56;25:23;34:36;41:03;46:34;58:39;01:07:23;01:16:42;01:23:32;04:17:19
7;152;Бельский;Дмитрий;35;Россия; Нет клуба/No club;М 35-39;31:37;33:34;25:29;28:59;;01:01:03;01:04:42;01:11:07;01:15:16;01:21:20;01:36:00;01:39:25;01:45:51;01:49:58;01:56:03;02:11:06;02:14:38;02:19:02;02:52:36;02:54:23;05:07;16:48;25:11;34:22;40:42;46:15;58:30;01:07:19;;01:22:56;04:17:19
8;3;Kupreev;Alexey;33;Республика Беларусь;Tristyle;Чемпионат РБ по триатлону;35:03;37:04;23:57;27:26;;58:52;01:02:28;01:08:48;01:12:58;01:19:13;01:33:59;01:37:24;01:43:48;01:47:54;01:54:00;02:09:04;02:12:35;02:17:00;02:54:03;02:55:22;05:04;16:49;25:21;34:21;40:42;46:08;58:11;01:06:48;01:16:06;01:22:29;04:17:52
9;32;Минашкин;Никита;36;Россия;TRIM;М 35-39;32:52;34:38;26:39;30:27;;01:02:52;01:06:41;01:13:30;01:17:45;01:24:15;01:39:52;01:43:42;01:50:25;01:54:39;02:02:18;02:18:11;02:22:03;02:26:34;03:01:12;03:02:57;04:58;16:12;24:21;33:04;39:10;44:29;56:18;01:04:47;01:13:38;01:19:44;04:22:41
10;5;Залога;Максим;35;Республика Беларусь; Нет клуба/No club;Чемпионат РБ по триатлону;34:24;36:41;25:13;28:43;;59:43;01:03:12;01:09:29;01:13:32;01:19:36;01:34:20;01:37:45;01:44:08;01:48:13;01:54:20;02:09:36;02:13:10;02:17:34;02:54:14;02:55:54;05:45;18:42;28:12;38:13;45:13;51:11;01:04:31;01:14:03;01:24:01;01:31:02;04:26:56
