1,Александр Василевич,67,00:15:54,00:07:03,00:00:30,00:04:05,00:00:46,00:03:32,00:17:00,00:03:18,00:01:00,00:07:48,00:00:31,00:04:24,00:16:54,00:04:24,00:00:29,00:07:37,00:00:47,00:03:39
2,Анатолий Буковец,69,00:16:41,00:07:25,00:00:31,00:04:16,00:00:49,00:03:42,00:00:-1,00:03:26,00:00:48,00:00:-1,00:00:-1,00:00:-1,00:17:13,00:04:25,00:00:29,00:08:04,00:00:47,00:03:31
3,Александр Дахно,73,00:16:58,00:07:24,00:00:30,00:04:17,00:00:50,00:03:59,00:17:26,00:03:52,00:00:52,00:07:53,00:00:29,00:04:21,00:17:42,00:04:29,00:00:28,00:08:01,00:00:48,00:03:58
4,Никита Григорьев,68,00:17:03,00:07:28,00:00:36,00:04:20,00:00:49,00:03:53,00:17:53,00:03:57,00:00:51,00:07:50,00:00:34,00:04:43,00:18:31,00:04:36,00:00:33,00:08:25,00:01:02,00:03:57
5,Андрей Табунов,70,00:17:40,00:07:36,00:00:36,00:04:37,00:01:05,00:03:48,00:17:44,00:03:52,00:00:54,00:07:53,00:00:39,00:04:28,00:18:22,00:04:51,00:00:39,00:08:21,00:00:49,00:03:44
6,Алексей Пульман,111,00:17:45,00:07:21,00:00:34,00:04:37,00:00:56,00:04:18,00:19:08,00:04:26,00:01:04,00:08:08,00:00:41,00:04:51,00:18:55,00:05:10,00:00:38,00:07:50,00:00:55,00:04:24
7,Татьяна Лукша,63,00:17:54,00:07:37,00:00:34,00:04:42,00:00:58,00:04:06,00:18:47,00:04:02,00:00:56,00:08:22,00:00:35,00:04:53,00:19:04,00:05:04,00:00:35,00:08:13,00:01:00,00:04:14
8,Даниил Падольский,66,00:17:57,00:07:26,00:00:32,00:04:27,00:01:15,00:04:20,00:18:37,00:03:57,00:00:55,00:08:25,00:00:36,00:04:47,00:18:12,00:04:31,00:00:29,00:07:57,00:00:47,00:04:30
9,Савелий Иткин,124,00:18:13,00:07:56,00:00:40,00:04:38,00:00:58,00:04:03,00:19:29,00:04:05,00:01:10,00:08:55,00:00:38,00:04:43,00:18:50,00:04:50,00:00:42,00:08:21,00:00:55,00:04:03
10,Никита Харитонов,118,00:18:16,00:07:45,00:00:31,00:04:51,00:00:54,00:04:17,00:19:20,00:04:07,00:01:02,00:08:42,00:00:30,00:05:02,00:19:28,00:05:14,00:00:35,00:08:33,00:00:54,00:04:14
